,評定者,対象,小さい,綺麗,癒し,柔らかい,ふわふわ,あたたかい,お洒落,美しい,優しい,女の子らしい,素敵,丸い,きらきら,無邪気,和み,幼い,華やか
180,KZcS2yN9u,猫,2,1,2,2,2,1,-2,0,-1,1,1,0,-2,2,2,-1,-2
181,wL0tYZYUS,猫,2,2,2,2,2,2,2,2,0,-1,2,2,2,2,2,2,2
182,HTuQxp6Dk,洋服,-2,2,1,1,0,-1,2,1,-2,1,2,-2,0,-2,-1,-2,2
183,mclyPQP7M,ピンク,-1,2,2,2,2,2,1,2,-1,2,2,-1,1,-1,2,-1,2
184,ujVPyd39o,赤ちゃん,2,-1,2,2,1,2,-1,0,2,-1,2,2,2,2,2,2,2
185,6Xg+rv8Vi,吉高ゆりこ,0,2,2,1,2,0,2,2,0,2,2,-2,2,2,2,-2,1
186,w5+QO9FC4,愛犬の表情、しぐさ等すべて,2,-2,2,2,2,1,-2,0,1,-2,0,2,1,2,2,0,-2
187,4G1BHLSiM,ピンク,-2,1,-1,0,0,1,1,0,1,2,1,1,0,0,1,1,1
188,f6XIptva8,ピンク色,1,1,1,1,2,-1,-1,-1,0,2,1,2,1,0,0,1,0
189,wL0tYZYUS,子供,2,-1,2,2,-2,2,2,2,2,2,2,2,2,2,2,2,2
190,neOpYpc06,知念侑李,2,2,1,2,1,0,1,2,1,1,2,1,2,1,0,-1,1
191,6e5WchKpo,猫,0,1,2,1,1,1,-1,2,0,-1,1,0,1,2,2,-2,1
192,xdR2ejI10,お花,2,2,2,1,1,1,2,2,2,1,2,0,2,1,2,-2,2
193,HTuQxp6Dk,友達,-2,0,1,-2,-2,1,2,1,2,2,2,-2,2,2,2,-2,1
194,7FyONqzU,家で飼っている犬,-2,1,2,2,2,2,-2,2,1,-1,1,1,-1,2,2,0,0
195,KZcS2yN9u,宮崎あおい（女優）,-1,2,2,-1,0,1,2,2,2,2,2,-1,0,0,1,-2,0
196,6Xg+rv8Vi,北川景子,-2,2,0,0,2,-1,2,2,-1,2,2,-1,2,0,-1,-2,2
197,w5+QO9FC4,中居正広の表情、話し方,-2,2,2,1,2,2,2,2,2,0,2,-2,2,2,2,0,2
198,AdpdnEOno,ヘアアクセサリー,1,2,0,1,1,-2,2,1,-1,2,1,0,1,-2,-2,-2,1
199,uCXwiQ0AQ,猫,2,1,2,2,2,2,0,1,2,2,2,2,-1,2,2,0,0
200,4G1BHLSiM,動物,0,-1,2,2,2,2,-1,-1,0,-2,2,1,-1,2,2,1,-1
201,ujVPyd39o,少女時代,-2,2,1,-1,-1,-1,2,2,-1,2,2,-2,2,-2,0,-2,2
202,Rj/I2VCKg,髪型,0,2,2,2,2,1,2,2,0,2,2,0,1,1,1,1,2
203,f6XIptva8,流行のもの,-2,2,1,0,1,-1,1,1,0,0,2,-2,0,0,0,-2,2
204,neOpYpc06,赤ちゃん,2,1,2,2,2,2,0,1,2,2,2,2,2,2,2,2,1
205,KZcS2yN9u,アニメの美少女キャラ,0,1,2,2,1,2,0,2,2,2,2,0,2,2,2,0,2
206,HTuQxp6Dk,小物,2,2,2,2,2,-1,2,2,-1,2,2,2,2,-2,1,-1,2
207,6e5WchKpo,赤ちゃん,2,1,2,2,2,1,-2,1,1,-1,0,1,2,2,2,2,-1
208,xdR2ejI10,赤ちゃん,2,0,2,2,2,2,-1,0,2,2,1,2,2,2,2,2,0
209,6Xg+rv8Vi,ピアス,2,2,-2,-2,-2,-2,2,2,-2,2,2,2,2,-2,-2,-2,2
210,uCXwiQ0AQ,女の子,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
211,4G1BHLSiM,子供,2,-1,2,2,2,2,-1,0,0,0,2,2,2,2,2,2,0
212,7FyONqzU,動物,-1,-1,2,0,0,1,-2,2,0,-2,2,-1,-1,-2,2,-1,0
213,AdpdnEOno,レース,0,2,2,2,2,1,1,2,2,2,1,-1,0,-2,1,-1,1
214,w5+QO9FC4,ハローキティ,2,-2,-2,-2,0,2,-2,-2,1,2,0,1,2,1,1,0,0
215,ujVPyd39o,ZARA,-2,2,0,0,0,1,2,2,-1,1,2,-1,2,-1,1,-2,2
216,neOpYpc06,香水,2,2,2,0,0,1,2,2,0,1,2,2,2,0,1,-1,2
217,HTuQxp6Dk,化粧品,1,2,2,1,1,-1,2,2,-2,2,2,-2,2,-2,0,-2,2
218,6Xg+rv8Vi,ミッキー,-1,-2,2,1,0,2,-2,-2,2,-2,2,2,2,2,2,0,-2
219,uCXwiQ0AQ,ピンク,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
220,6e5WchKpo,芸能人,-1,2,0,0,0,-1,2,2,1,0,2,-1,2,0,1,-1,2
221,Rj/I2VCKg,髪色,-1,2,2,2,2,0,2,2,-1,2,2,0,2,2,0,1,2
222,ujVPyd39o,長谷川潤,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
223,w5+QO9FC4,ダッフィー,0,-2,2,2,2,2,-2,-2,2,-2,0,2,2,0,2,0,-1
224,neOpYpc06,クッション,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2
225,uCXwiQ0AQ,服,-1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2
226,xdR2ejI10,女の子,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,1,2
227,AdpdnEOno,アンティーク,-2,0,2,2,0,0,2,1,0,0,1,-2,-1,-2,1,-2,-2
228,7FyONqzU,ぬいぐるみ,0,-1,2,2,2,0,-1,-1,1,2,1,1,-1,0,2,2,-2
229,bT2TTUTCK,犬,0,-1,1,2,2,2,-1,-1,0,0,0,1,0,1,2,0,-1
230,w5+QO9FC4,ピンク色の雑貨,-2,2,2,-2,-2,-2,2,1,-2,1,1,-2,1,-2,0,-2,2
231,uCXwiQ0AQ,アクセサリー,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2
232,6e5WchKpo,アクセサリー,0,2,0,0,0,-1,2,-1,-1,0,1,0,2,-1,1,-2,2
233,Rj/I2VCKg,顔,0,2,2,2,2,1,0,2,2,2,2,2,0,1,1,2,2
234,AdpdnEOno,赤ちゃん,2,-2,1,2,2,0,-2,-2,-2,1,-2,0,0,1,0,2,-2
235,bT2TTUTCK,洋服,-2,2,0,1,1,-2,2,2,-1,2,2,-1,1,-1,-1,-1,2
236,xdR2ejI10,アクセサリー,2,2,-2,-2,-2,-2,2,2,-1,2,2,0,2,-2,-2,-2,2
237,7FyONqzU,小さい子ども,2,-1,1,2,0,1,-2,-1,1,-1,0,-1,2,2,0,2,-1
238,AdpdnEOno,バレリーナのマスコット,2,2,2,2,2,-2,1,1,-1,2,0,-2,2,-2,-2,0,1
